actor;movie;;;;
Marion Cotillard;Inception;;;;
Tom Berenger;Inception;;;;
Cillian Murphy;Inception;;;;
Dileep Rao;Inception;;;;
Ken Watanabe;Inception;;;;
Tom Hardy;Inception;;;;
Joseph Gordon-Levitt;Inception;;;;
Zooey Deschanel;(500) Days of Summer;;;;
Geoffrey Arend;(500) Days of Summer;;;;
Chloë Grace Moretz;(500) Days of Summer;;;;
Matthew Gray Gubler;(500) Days of Summer;;;;
Clark Gregg;(500) Days of Summer;;;;
Patricia Belcher;(500) Days of Summer;;;;
Rachel Boston;(500) Days of Summer;;;;
Minka Kelly;(500) Days of Summer;;;;
Charles Walker;(500) Days of Summer;;;;
Joseph Gordon-Levitt;(500) Days of Summer;;;;
Adewale Akinnuoye-Agbaje;G.I. Joe: The Rise of Cobra;;;;
Christopher Eccleston;G.I. Joe: The Rise of Cobra;;;;
Grégory Fitoussi;G.I. Joe: The Rise of Cobra;;;;
Leo Howard;G.I. Joe: The Rise of Cobra;;;;
Karolina Kurkova;G.I. Joe: The Rise of Cobra;;;;
Lee Byung-hun;G.I. Joe: The Rise of Cobra;;;;
Sienna Miller;G.I. Joe: The Rise of Cobra;;;;
Rachel Nichols;G.I. Joe: The Rise of Cobra;;;;
Joseph Gordon-Levitt;G.I. Joe: The Rise of Cobra;;;;
Benedict Cumberbatch;The Imitation Game;;;;
Matthew Goode;The Imitation Game;;;;
Rory Kinnear;The Imitation Game;;;;
Allen Leech;The Imitation Game;;;;
Matthew Beard;The Imitation Game;;;;
Charles Dance;The Imitation Game;;;;
Mark Strong;The Imitation Game;;;;
James Northcote;The Imitation Game;;;;
Tom Goodman-Hill;The Imitation Game;;;;
Kiera Knightley;The Imitation Game;;;;
Matthew Macfadyen;Pride & Prejudice;;;;
Kelly Reilly;Pride & Prejudice;;;;
Simon Woods;Pride & Prejudice;;;;
Sylvester Morand;Pride & Prejudice;;;;
Claudie Blakley;Pride & Prejudice;;;;
Brenda Blethyn;Pride & Prejudice;;;;
Donald Sutherland;Pride & Prejudice;;;;
Carey Mulligan;Pride & Prejudice;;;;
Jena Malone;Pride & Prejudice;;;;
Rosamund Pike;Pride & Prejudice;;;;
Talulah Riley;Pride & Prejudice;;;;
Kiera Knightley;Pride & Prejudice;;;;
Charlie von Simson;Atonement;;;;
Felix von Simson;Atonement;;;;
Juno Temple;Atonement;;;;
Harriet Walter;Atonement;;;;
James McAvoy;Atonement;;;;
Julia West;Atonement;;;;
Brenda Blethyn;Atonement;;;;
Ailidh Mackay;Atonement;;;;
Saoirse Ronan;Atonement;;;;
Kiera Knightley;Atonement;;;;
Alexander Skarsgård;The Aftermath;;;;
Martin Compston;The Aftermath;;;;
Kate Phillips;The Aftermath;;;;
Fionn O'Shea;The Aftermath;;;;
Jack Laskey;The Aftermath;;;;
Anna Schimrigk;The Aftermath;;;;
Jason Clarke;The Aftermath;;;;
Pandora Colin;The Aftermath;;;;
Ned Wills;The Aftermath;;;;
Kiera Knightley;The Aftermath;;;;
Jacob Latimore;Collateral Beauty;;;;
Will Smith;Collateral Beauty;;;;
Kate Winslet;Collateral Beauty;;;;
Michael Peña;Collateral Beauty;;;;
Helen Mirren;Collateral Beauty;;;;
Naomie Harris;Collateral Beauty;;;;
Kiera Knightley;Collateral Beauty;;;;
Raúl Castillo;Wrath of Man;;;;
Laz Alonso;Wrath of Man;;;;
Deobia Oparei;Wrath of Man;;;;
Andy Garcia;Wrath of Man;;;;
Scott Eastwood;Wrath of Man;;;;
Jeffrey Donovan;Wrath of Man;;;;
Josh Hartnett;Wrath of Man;;;;
Rocci Boy Williams;Wrath of Man;;;;
Holt McCallany;Wrath of Man;;;;
Jason Stathem;Wrath of Man;;;;
Charles Cork;Snatch;;;;
Teena Collins;Snatch;;;;
Nicola Collins;Snatch;;;;
Mickey Cantwell;Snatch;;;;
Jason Buckham;Snatch;;;;
Ewen Bremner;Snatch;;;;
Andy Beckwith;Snatch;;;;
William Beck;Snatch;;;;
Ade;Snatch;;;;
Jason Stathem;Snatch;;;;
Lenny McLean;Lock, Stock and Two Smoking Barrels;;;;
Vinnie Jones;Lock, Stock and Two Smoking Barrels;;;;
Charles Forbes;Lock, Stock and Two Smoking Barrels;;;;
Nick Marcq;Lock, Stock and Two Smoking Barrels;;;;
Nicholas Rowe;Lock, Stock and Two Smoking Barrels;;;;
Steven Mackintosh;Lock, Stock and Two Smoking Barrels;;;;
Nick Moran;Lock, Stock and Two Smoking Barrels;;;;
Dexter Fletcher;Lock, Stock and Two Smoking Barrels;;;;
Jason Flemyng;Lock, Stock and Two Smoking Barrels;;;;
Jason Stathem;Lock, Stock and Two Smoking Barrels;;;;
Charisma Carpenter;The Expendables;;;;
Giselle Itié;The Expendables;;;;
David Zayas;The Expendables;;;;
Steve Austin;The Expendables;;;;
Randy Couture;The Expendables;;;;
Eric Roberts;The Expendables;;;;
Dolph Lundgren;The Expendables;;;;
Jet Li;The Expendables;;;;
Sylvester Stallone;The Expendables;;;;
Jason Stathem;The Expendables;;;;
Shu Qi;The Transporter;;;;
François Berléand;The Transporter;;;;
Matt Schulze;The Transporter;;;;
Ric Young;The Transporter;;;;
Doug Rand;The Transporter;;;;
Didier Saint Melin;The Transporter;;;;
Jason Stathem;The Transporter;;;;
Jason Stathem;The Italian Job;;;;
Seth Green;The Italian Job;;;;
Yasiin Bey;The Italian Job;;;;
Fausto Callegarini;The Italian Job;;;;
Donald Sutherland;The Italian Job;;;;
Charlize Theron;The Italian Job;;;;
Mark Wahlberg;The Italian Job;;;;
